CNPJ,Ref,Media180,NDias
03369970000157,202601,61001296,126
03369970000157,202602,60475094,124
03369970000157,202603,59924729,123
03369970000157,202604,59378968,122
03369970000157,202605,58743957,121
03369970000157,202606,58700203,122
03369970000157,202607,59399690,124
03369970000157,HOJE,59433048,121
03389374000139,202512,105733673362,126
03389374000139,202601,108165612345,126
03389374000139,202602,110528272235,124
03389374000139,202603,113682724344,123
03389374000139,202604,116537475984,122
03389374000139,202605,119073088947,121
03389374000139,202606,121503287046,122
03389374000139,202607,123988525287,124
03389374000139,HOJE,124348363083,122
03504023000121,202512,32206626135,126
03504023000121,202601,32885502918,122
03504023000121,202602,33744678360,120
03504023000121,202603,34906514257,119
03504023000121,202604,36128475849,118
03504023000121,202605,37461883821,117
03504023000121,202606,38943022826,118
03504023000121,202607,40128032331,124
03504023000121,HOJE,40282509416,122
03960320000181,202512,941594774,126
03960320000181,202601,947277587,126
03960320000181,202602,952903614,124
03960320000181,202603,959374206,123
03960320000181,202604,966314876,122
03960320000181,202605,971222865,121
03960320000181,202606,975619922,122
03960320000181,202607,980859260,124
03960320000181,HOJE,981557345,122
03960349000163,202512,165172275,126
03960349000163,202601,165211915,126
03960349000163,202602,165861820,124
03960349000163,202603,166712407,123
03960349000163,202604,167581711,122
03960349000163,202605,167552244,121
03960349000163,202606,167203058,122
03960349000163,202607,166842337,124
03960349000163,HOJE,166765139,122
04087328000148,202512,158535681,126
04087328000148,202601,159731648,126
04087328000148,202602,160859998,124
04087328000148,202603,162033984,123
04087328000148,202604,163042579,122
04087328000148,202605,164117924,121
04087328000148,202606,165266602,122
04087328000148,202607,166544194,124
04087328000148,HOJE,166711801,122
04113821000195,202512,124651220,126
04113821000195,202601,121081530,126
04113821000195,202602,117750460,124
04113821000195,202603,113629518,123
04113821000195,202604,110454574,122
04113821000195,202605,111669301,121
04113821000195,202606,112880105,122
04113821000195,202607,114187231,124
04113821000195,HOJE,114332611,121
04228545000100,202512,975211041,126
04228545000100,202601,979985060,126
04228545000100,202602,977775847,124
04228545000100,202603,987491362,123
04228545000100,202604,961358856,122
04228545000100,202605,915181361,121
04228545000100,202606,862838332,122
04228545000100,202607,773931072,124
04228545000100,HOJE,761124351,122
04240128000183,202512,101408654,126
04240128000183,202601,108908370,126
04240128000183,202602,118362531,124
04240128000183,202603,133561551,123
04240128000183,202604,146476175,122
04240128000183,202605,157577552,121
04240128000183,202606,167717977,122
04240128000183,202607,174499840,124
04240128000183,HOJE,175381433,122
04356413000164,202512,69082346,126
04356413000164,202601,69708457,126
04356413000164,202602,70320905,124
04356413000164,202603,70950569,123
04356413000164,202604,71597099,122
04356413000164,202605,72163853,121
04356413000164,202606,72637540,122
